head_id	relation_id	relation_label	true_tail_id	true_tail_label	true_tail_class_label	pred_tail_id	pred_tail_label	pred_tail_class_label	P21	P27	P172	P140	wrong classification?
Q1274954	P106	occupation	Q28389	screenwriter	8	Q2722764	radio personality	0	Q6581097	-1	-1	-1	yes
Q17512078	P106	occupation	Q82955	politician	1	Q131512	farmer	0	-1	-1	-1	-1	yes
Q2150133	P106	occupation	Q40348	lawyer	3	Q883231	law clerk	0	-1	-1	-1	-1	yes
Q2713565	P106	occupation	Q28389	screenwriter	8	Q266569	animator	0	Q6581097	-1	-1	-1	yes
Q28791080	P106	occupation	Q36180	writer	2	Q42973	architect	0	-1	Q30	-1	-1	yes
Q3242404	P106	occupation	Q33999	actor	4	Q1930187	journalist	0	-1	-1	-1	-1	yes
Q332470	P106	occupation	Q82955	politician	1	Q4964182	philosopher	0	Q6581097	-1	-1	-1	yes
Q332470	P106	occupation	Q36180	writer	2	Q4964182	philosopher	0	Q6581097	-1	-1	-1	yes
Q354241	P106	occupation	Q36180	writer	2	Q1050607	caretaker manager	0	-1	-1	-1	-1	yes
Q354241	P106	occupation	Q33999	actor	4	Q1050607	caretaker manager	0	-1	-1	-1	-1	yes
Q366328	P106	occupation	Q49757	poet	6	Q4964182	philosopher	0	-1	-1	-1	-1	yes
Q366328	P106	occupation	Q82955	politician	1	Q4964182	philosopher	0	-1	-1	-1	-1	yes
Q379923	P106	occupation	Q6625963	novelist	7	Q744738	encyclopédistes	0	-1	Q142	-1	-1	yes
Q379923	P106	occupation	Q36180	writer	2	Q744738	encyclopédistes	0	-1	Q142	-1	-1	yes
Q4228038	P106	occupation	Q937857	association football player	5	Q628099	association football manager	0	-1	Q22	-1	-1	yes
Q58793	P106	occupation	Q36180	writer	2	Q4773904	anthropologist	0	-1	-1	-1	-1	yes
Q611182	P106	occupation	Q40348	lawyer	3	Q5178440	court reporter	0	Q6581097	-1	-1	-1	yes
Q611182	P106	occupation	Q82955	politician	1	Q5178440	court reporter	0	Q6581097	-1	-1	-1	yes
Q6780980	P106	occupation	Q40348	lawyer	3	Q883231	law clerk	0	-1	Q30	-1	-1	yes
Q6850043	P106	occupation	Q82955	politician	1	Q188094	economist	0	Q6581097	-1	-1	-1	yes
Q7825274	P106	occupation	Q36180	writer	2	Q1568338	technical writer	0	Q6581097	-1	-1	-1	yes
Q804182	P106	occupation	Q82955	politician	1	Q876864	contributing editor	0	-1	-1	-1	-1	yes
Q3172990	P106	occupation	Q40348	lawyer	3	Q82955	politician	1	-1	-1	-1	-1	yes
Q3172990	P106	occupation	Q2722764	radio personality	0	Q82955	politician	1	-1	-1	-1	-1	yes
Q318462	P106	occupation	Q49757	poet	6	Q82955	politician	1	-1	Q174193	-1	-1	yes
Q405463	P106	occupation	Q40348	lawyer	3	Q82955	politician	1	Q6581097	-1	-1	-1	yes
Q405463	P106	occupation	Q47064	military personnel	0	Q82955	politician	1	Q6581097	-1	-1	-1	yes
Q4720002	P106	occupation	Q40348	lawyer	3	Q82955	politician	1	-1	-1	-1	-1	yes
